Retailer,Region,State_name,City,Product,Sales Method,Retailer_code,Region_code,State_code,City_code,Product_code,Sales Method_code,Price per Unit,Units Sold,Total_Sales,Operating Profit,Operating Margin,State
Foot Locker,Northeast,New York,New York,Men's Apparel,Outlet,1,1,31,35,0,2,60,850,510000,153000,0.3,NY
Foot Locker,Northeast,New York,New York,Women's Apparel,Outlet,1,1,31,35,3,2,50,950,475000,118750,0.25,PA
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Outlet,1,1,31,35,2,2,50,1200,600000,300000,0.5,NY
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,Outlet,1,1,31,35,1,2,50,900,450000,135000,0.3,PA
Foot Locker,Northeast,New York,New York,Women's Street Footwear,Outlet,1,1,31,35,5,2,40,900,360000,126000,0.35,NY
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,Outlet,1,1,31,35,4,2,45,825,371250,129937.5,0.35,PA
Foot Locker,Northeast,New York,New York,Men's Apparel,Outlet,1,1,31,35,0,2,60,825,495000,148500,0.3,NY
Foot Locker,Northeast,New York,New York,Women's Apparel,Outlet,1,1,31,35,3,2,50,950,475000,118750,0.25,PA
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Outlet,1,1,31,35,2,2,60,1220,732000,366000,0.5,NY
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,Outlet,1,1,31,35,1,2,55,925,508750,152625,0.3,PA
Foot Locker,Northeast,New York,New York,Women's Street Footwear,Outlet,1,1,31,35,5,2,50,900,450000,157500,0.35,NY
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,Outlet,1,1,31,35,4,2,50,850,425000,148750,0.35,PA
Foot Locker,Northeast,New York,New York,Men's Apparel,Outlet,1,1,31,35,0,2,60,875,525000,157500,0.3,NY
Foot Locker,Northeast,New York,New York,Women's Apparel,Outlet,1,1,31,35,3,2,65,1000,650000,162500,0.25,PA
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Outlet,1,1,31,35,2,2,60,1250,750000,375000,0.5,NY
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,Outlet,1,1,31,35,1,2,55,1000,550000,165000,0.3,NV
Foot Locker,Northeast,New York,New York,Women's Street Footwear,Outlet,1,1,31,35,5,2,50,925,462500,161875,0.35,NY
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,Outlet,1,1,31,35,4,2,50,900,450000,157500,0.35,NV
Foot Locker,Northeast,New York,New York,Men's Apparel,Outlet,1,1,31,35,0,2,60,900,540000,162000,0.3,NY
Foot Locker,Northeast,New York,New York,Women's Apparel,Outlet,1,1,31,35,3,2,65,1050,682500,170625,0.25,NV
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Outlet,1,1,31,35,2,2,60,1275,765000,382500,0.5,NY
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,Outlet,1,1,31,35,1,2,55,1025,563750,169125,0.3,NV
Foot Locker,Northeast,New York,New York,Women's Street Footwear,Outlet,1,1,31,35,5,2,50,950,475000,166250,0.35,NY
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,Outlet,1,1,31,35,4,2,50,900,450000,157500,0.35,NV
Foot Locker,Northeast,New York,New York,Men's Apparel,Outlet,1,1,31,35,0,2,60,925,555000,166500,0.3,NY
Foot Locker,Northeast,New York,New York,Women's Apparel,Outlet,1,1,31,35,3,2,65,1100,715000,178750,0.25,NV
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Outlet,1,1,31,35,2,2,60,1250,750000,375000,0.5,NY
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,Outlet,1,1,31,35,1,2,55,1025,563750,169125,0.3,NV
Foot Locker,Northeast,New York,New York,Women's Street Footwear,Outlet,1,1,31,35,5,2,50,950,475000,166250,0.35,NY
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,Outlet,1,1,31,35,4,2,50,925,462500,161875,0.35,NV
Walmart,Northeast,New York,New York,Men's Apparel,Outlet,4,1,31,35,0,2,60,900,540000,162000,0.3,NY
Walmart,Northeast,New York,New York,Women's Apparel,Outlet,4,1,31,35,3,2,65,1075,698750,174687.5,0.25,NV
Walmart,Northeast,New York,New York,Men's Street Footwear,Outlet,4,1,31,35,2,2,60,1200,720000,360000,0.5,NV
Walmart,Northeast,New York,New York,Men's Athletic Footwear,Outlet,4,1,31,35,1,2,55,1000,550000,165000,0.3,NV
Walmart,Northeast,New York,New York,Women's Street Footwear,Outlet,4,1,31,35,5,2,50,925,462500,161875,0.35,NV
Walmart,Northeast,New York,New York,Women's Athletic Footwear,Outlet,4,1,31,35,4,2,50,900,450000,157500,0.35,NV
Walmart,Northeast,New York,New York,Men's Apparel,Outlet,4,1,31,35,0,2,60,900,540000,162000,0.3,NV
Walmart,Northeast,New York,New York,Women's Apparel,Outlet,4,1,31,35,3,2,65,1000,650000,162500,0.25,NV
Walmart,Northeast,New York,New York,Men's Apparel,Outlet,4,1,31,35,0,2,65,875,568750,170625,0.3,NV
Walmart,Northeast,New York,New York,Women's Apparel,Outlet,4,1,31,35,3,2,70,1000,700000,175000,0.25,NV
Walmart,Northeast,New York,New York,Men's Street Footwear,Outlet,4,1,31,35,2,2,65,1150,747500,373750,0.5,NV
Walmart,Northeast,New York,New York,Men's Athletic Footwear,Outlet,4,1,31,35,1,2,55,975,536250,160875,0.3,NV
Walmart,Northeast,New York,New York,Women's Street Footwear,Outlet,4,1,31,35,5,2,55,920,506000,177100,0.35,NV
Walmart,Northeast,New York,New York,Women's Athletic Footwear,Outlet,4,1,31,35,4,2,55,900,495000,173250,0.35,NV
Walmart,Northeast,New York,New York,Men's Apparel,Outlet,4,1,31,35,0,2,65,875,568750,170625,0.3,NV
Walmart,Northeast,New York,New York,Women's Apparel,Outlet,4,1,31,35,3,2,70,975,682500,170625,0.25,NV
Walmart,Northeast,New York,New York,Men's Street Footwear,Outlet,4,1,31,35,2,2,65,1200,780000,390000,0.5,NV
Walmart,Northeast,New York,New York,Men's Athletic Footwear,Outlet,4,1,31,35,1,2,55,1000,550000,165000,0.3,NV
Walmart,Northeast,New York,New York,Women's Street Footwear,Outlet,4,1,31,35,5,2,55,950,522500,182875,0.35,NV
Walmart,Northeast,New York,New York,Women's Athletic Footwear,Outlet,4,1,31,35,4,2,55,900,495000,173250,0.35,NV
Walmart,Northeast,New York,New York,Men's Apparel,Outlet,4,1,31,35,0,2,65,900,585000,175500,0.3,NV
Walmart,Northeast,New York,New York,Women's Apparel,Outlet,4,1,31,35,3,2,70,1000,700000,175000,0.25,NV
Sports Direct,Northeast,New York,New York,Men's Street Footwear,Outlet,3,1,31,35,2,2,25,900,225000,78750,0.35,NV
Sports Direct,Northeast,New York,New York,Men's Athletic Footwear,Outlet,3,1,31,35,1,2,35,900,315000,110250,0.35,NV
Sports Direct,Northeast,New York,New York,Women's Street Footwear,Outlet,3,1,31,35,5,2,35,700,245000,85750,0.35,NV
Sports Direct,Northeast,New York,New York,Women's Athletic Footwear,Outlet,3,1,31,35,4,2,35,700,245000,110250,0.45,NV
Sports Direct,South,Texas,Houston,Men's Apparel,Outlet,3,2,42,22,0,2,40,550,220000,66000,0.3,NV
Sports Direct,South,Texas,Houston,Women's Apparel,Outlet,3,2,42,22,3,2,35,700,245000,122500,0.5,NV
Sports Direct,South,Texas,Houston,Men's Street Footwear,Outlet,3,2,42,22,2,2,25,850,212500,74375,0.35,NV
Sports Direct,South,Texas,Houston,Men's Athletic Footwear,Outlet,3,2,42,22,1,2,35,850,297500,104125,0.35,NV
Sports Direct,South,Texas,Houston,Women's Street Footwear,Outlet,3,2,42,22,5,2,35,675,236250,82687.5,0.35,NV
Sports Direct,South,Texas,Houston,Women's Athletic Footwear,Outlet,3,2,42,22,4,2,35,625,218750,98437.5,0.45,NV
Sports Direct,South,Texas,Houston,Men's Apparel,Outlet,3,2,42,22,0,2,40,500,200000,60000,0.3,NV
Sports Direct,South,Texas,Houston,Women's Apparel,Outlet,3,2,42,22,3,2,35,700,245000,122500,0.5,NV
Sports Direct,South,Texas,Houston,Men's Street Footwear,Outlet,3,2,42,22,2,2,30,875,262500,91875,0.35,NV
Sports Direct,South,Texas,Houston,Men's Athletic Footwear,Outlet,3,2,42,22,1,2,40,875,350000,122500,0.35,NV
Sports Direct,South,Texas,Houston,Women's Street Footwear,Outlet,3,2,42,22,5,2,35,700,245000,85750,0.35,NV
Sports Direct,South,Texas,Houston,Women's Athletic Footwear,Outlet,3,2,42,22,4,2,40,600,240000,108000,0.45,NV
Sports Direct,South,Texas,Houston,Men's Apparel,Outlet,3,2,42,22,0,2,45,500,225000,67500,0.3,NY
Sports Direct,South,Texas,Houston,Women's Apparel,Outlet,3,2,42,22,3,2,40,650,260000,130000,0.5,NV
Sports Direct,South,Texas,Houston,Men's Street Footwear,Outlet,3,2,42,22,2,2,30,900,270000,94500,0.35,NY
Sports Direct,South,Texas,Houston,Men's Athletic Footwear,Outlet,3,2,42,22,1,2,40,900,360000,126000,0.35,NV
Sports Direct,South,Texas,Houston,Women's Street Footwear,Outlet,3,2,42,22,5,2,35,725,253750,88812.5,0.35,NY
Sports Direct,South,Texas,Houston,Women's Athletic Footwear,Outlet,3,2,42,22,4,2,40,625,250000,112500,0.45,NV
Walmart,South,Texas,Houston,Men's Apparel,Outlet,4,2,42,22,0,2,45,525,236250,70875,0.3,NY
Walmart,South,Texas,Houston,Women's Apparel,Outlet,4,2,42,22,3,2,40,800,320000,160000,0.5,NV
Walmart,South,Texas,Houston,Men's Street Footwear,Outlet,4,2,42,22,2,2,30,925,277500,97125,0.35,NY
Walmart,South,Texas,Houston,Men's Athletic Footwear,Outlet,4,2,42,22,1,2,40,925,370000,129500,0.35,NV
Walmart,South,Texas,Houston,Women's Street Footwear,Outlet,4,2,42,22,5,2,35,775,271250,94937.5,0.35,NY
Walmart,South,Texas,Houston,Women's Athletic Footwear,Outlet,4,2,42,22,4,2,40,700,280000,126000,0.45,NV
Walmart,South,Texas,Houston,Men's Apparel,Outlet,4,2,42,22,0,2,45,600,270000,81000,0.3,NY
Walmart,South,Texas,Houston,Women's Apparel,Outlet,4,2,42,22,3,2,40,950,380000,190000,0.5,NV
Walmart,South,Texas,Houston,Men's Street Footwear,Outlet,4,2,42,22,2,2,40,950,380000,133000,0.35,NY
Walmart,South,Texas,Houston,Men's Athletic Footwear,Outlet,4,2,42,22,1,2,45,950,427500,149625,0.35,NV
Walmart,South,Texas,Houston,Women's Street Footwear,Outlet,4,2,42,22,5,2,40,800,320000,112000,0.35,NY
Walmart,South,Texas,Houston,Women's Athletic Footwear,Outlet,4,2,42,22,4,2,40,750,300000,135000,0.45,NV
Walmart,South,Texas,Houston,Men's Apparel,Outlet,4,2,42,22,0,2,45,650,292500,87750,0.3,NY
Walmart,South,Texas,Houston,Women's Apparel,Outlet,4,2,42,22,3,2,50,1000,500000,250000,0.5,NV
Walmart,South,Texas,Houston,Men's Street Footwear,Outlet,4,2,42,22,2,2,40,950,380000,133000,0.35,NY
Walmart,South,Texas,Houston,Men's Athletic Footwear,Outlet,4,2,42,22,1,2,45,950,427500,149625,0.35,NV
Walmart,South,Texas,Houston,Women's Street Footwear,Outlet,4,2,42,22,5,2,40,1100,440000,154000,0.35,NY
Walmart,South,Texas,Houston,Women's Athletic Footwear,Outlet,4,2,42,22,4,2,40,700,280000,126000,0.45,NV
Walmart,South,Texas,Houston,Men's Apparel,Outlet,4,2,42,22,0,2,45,700,315000,94500,0.3,NY
Walmart,South,Texas,Houston,Women's Apparel,Outlet,4,2,42,22,3,2,50,975,487500,243750,0.5,NV
Walmart,South,Texas,Houston,Men's Street Footwear,Outlet,4,2,42,22,2,2,40,925,370000,129500,0.35,NY
Walmart,South,Texas,Houston,Men's Athletic Footwear,Outlet,4,2,42,22,1,2,45,925,416250,145687.5,0.35,NV
Walmart,South,Texas,Houston,Women's Street Footwear,Outlet,4,2,42,22,5,2,40,1100,440000,154000,0.35,NY
Walmart,South,Texas,Houston,Women's Athletic Footwear,Outlet,4,2,42,22,4,2,40,650,260000,117000,0.45,NV
Walmart,South,Texas,Houston,Men's Apparel,Outlet,4,2,42,22,0,2,45,650,292500,87750,0.3,NY
Walmart,South,Texas,Houston,Women's Apparel,Outlet,4,2,42,22,3,2,50,900,450000,225000,0.5,NV
Walmart,South,Texas,Houston,Men's Street Footwear,Outlet,4,2,42,22,2,2,45,850,382500,133875,0.35,NY
Walmart,South,Texas,Houston,Men's Athletic Footwear,Outlet,4,2,42,22,1,2,45,850,382500,133875,0.35,NV
Walmart,South,Texas,Houston,Women's Street Footwear,Outlet,4,2,42,22,5,2,50,900,450000,157500,0.35,NY
Walmart,South,Texas,Houston,Women's Athletic Footwear,Outlet,4,2,42,22,4,2,50,625,312500,140625,0.45,NV
Walmart,South,Texas,Houston,Men's Apparel,Outlet,4,2,42,22,0,2,45,625,281250,84375,0.3,NY
Walmart,South,Texas,Houston,Women's Apparel,Outlet,4,2,42,22,3,2,55,850,467500,233750,0.5,NV
Walmart,South,Texas,Houston,Men's Street Footwear,Outlet,4,2,42,22,2,2,45,800,360000,126000,0.35,NY
Walmart,South,Texas,Houston,Men's Athletic Footwear,Outlet,4,2,42,22,1,2,45,800,360000,126000,0.35,NV
Walmart,South,Texas,Houston,Women's Street Footwear,Outlet,4,2,42,22,5,2,50,750,375000,131250,0.35,NY
Walmart,South,Texas,Houston,Women's Athletic Footwear,Outlet,4,2,42,22,4,2,50,600,300000,135000,0.45,NV
Walmart,South,Texas,Houston,Men's Apparel,Outlet,4,2,42,22,0,2,45,575,258750,77625,0.3,NY
Walmart,South,Texas,Houston,Women's Apparel,Outlet,4,2,42,22,3,2,55,750,412500,206250,0.5,NV
Walmart,South,Texas,Houston,Men's Street Footwear,Outlet,4,2,42,22,2,2,45,900,405000,141750,0.35,NY
Walmart,South,Texas,Houston,Men's Athletic Footwear,Outlet,4,2,42,22,1,2,45,900,405000,141750,0.35,NV
Walmart,South,Texas,Houston,Women's Street Footwear,Outlet,4,2,42,22,5,2,50,825,412500,144375,0.35,NY
Walmart,South,Texas,Houston,Women's Athletic Footwear,Outlet,4,2,42,22,4,2,50,675,337500,151875,0.45,NV
Walmart,South,Texas,Houston,Men's Apparel,Outlet,4,2,42,22,0,2,45,650,292500,87750,0.3,NY
Walmart,South,Texas,Houston,Women's Apparel,Outlet,4,2,42,22,3,2,55,850,467500,233750,0.5,NV
Walmart,South,Texas,Houston,Men's Street Footwear,Outlet,4,2,42,22,2,2,45,950,427500,149625,0.35,NY
Walmart,South,Texas,Houston,Men's Athletic Footwear,Outlet,4,2,42,22,1,2,45,950,427500,149625,0.35,NV
Walmart,South,Texas,Houston,Women's Street Footwear,Outlet,4,2,42,22,5,2,50,850,425000,148750,0.35,NY
Walmart,South,Texas,Houston,Women's Athletic Footwear,Outlet,4,2,42,22,4,2,50,700,350000,157500,0.45,NV
Walmart,South,Texas,Houston,Men's Apparel,Outlet,4,2,42,22,0,2,45,650,292500,87750,0.3,NY
Walmart,South,Texas,Houston,Women's Apparel,Outlet,4,2,42,22,3,2,55,900,495000,247500,0.5,NV
West Gear,South,Texas,Houston,Men's Street Footwear,Outlet,5,2,42,22,2,2,40,775,310000,108500,0.35,NY
West Gear,South,Texas,Houston,Men's Athletic Footwear,Outlet,5,2,42,22,1,2,50,775,387500,77500,0.2,NV
West Gear,South,Texas,Houston,Women's Street Footwear,Outlet,5,2,42,22,5,2,50,775,387500,135625,0.35,NY
West Gear,South,Texas,Houston,Women's Athletic Footwear,Outlet,5,2,42,22,4,2,50,625,312500,93750,0.3,NV
West Gear,West,California,San Francisco,Men's Apparel,Outlet,5,4,4,46,0,2,55,575,316250,158125,0.5,NY
West Gear,West,California,San Francisco,Women's Apparel,Outlet,5,4,4,46,3,2,50,775,387500,58125,0.15,NV
West Gear,West,California,San Francisco,Men's Street Footwear,Outlet,5,4,4,46,2,2,40,825,330000,115500,0.35,NY
West Gear,West,California,San Francisco,Men's Athletic Footwear,Outlet,5,4,4,46,1,2,50,725,362500,72500,0.2,NV
West Gear,West,California,San Francisco,Women's Street Footwear,Outlet,5,4,4,46,5,2,50,725,362500,126875,0.35,NY
West Gear,West,California,San Francisco,Women's Athletic Footwear,Outlet,5,4,4,46,4,2,50,575,287500,86250,0.3,NV
West Gear,West,California,San Francisco,Men's Apparel,Outlet,5,4,4,46,0,2,55,500,275000,137500,0.5,NY
West Gear,West,California,San Francisco,Women's Apparel,Outlet,5,4,4,46,3,2,50,700,350000,52500,0.15,NV
West Gear,West,California,San Francisco,Men's Street Footwear,Outlet,5,4,4,46,2,2,50,850,425000,148750,0.35,NY
West Gear,West,California,San Francisco,Men's Athletic Footwear,Outlet,5,4,4,46,1,2,60,700,420000,84000,0.2,NV
West Gear,West,California,San Francisco,Women's Street Footwear,Outlet,5,4,4,46,5,2,60,700,420000,147000,0.35,NY
West Gear,West,California,San Francisco,Women's Athletic Footwear,Outlet,5,4,4,46,4,2,60,600,360000,108000,0.3,NV
West Gear,West,California,San Francisco,Men's Apparel,Outlet,5,4,4,46,0,2,65,500,325000,162500,0.5,NY
West Gear,West,California,San Francisco,Women's Apparel,Outlet,5,4,4,46,3,2,60,700,420000,63000,0.15,NV
West Gear,West,California,San Francisco,Men's Street Footwear,Outlet,5,4,4,46,2,2,60,875,525000,183750,0.35,NY
West Gear,West,California,San Francisco,Men's Athletic Footwear,Outlet,5,4,4,46,1,2,65,675,438750,87750,0.2,NV
West Gear,West,California,San Francisco,Women's Street Footwear,Outlet,5,4,4,46,5,2,65,725,471250,164937.5,0.35,NY
West Gear,West,California,San Francisco,Women's Athletic Footwear,Outlet,5,4,4,46,4,2,60,625,375000,112500,0.3,NV
West Gear,West,California,San Francisco,Men's Apparel,Outlet,5,4,4,46,0,2,65,525,341250,170625,0.5,NY
West Gear,West,California,San Francisco,Women's Apparel,Outlet,5,4,4,46,3,2,80,700,560000,84000,0.15,NV
West Gear,West,California,San Francisco,Men's Street Footwear,Outlet,5,4,4,46,2,2,60,900,540000,216000,0.4,NY
West Gear,West,California,San Francisco,Men's Athletic Footwear,Outlet,5,4,4,46,1,2,65,750,487500,121875,0.25,NY
West Gear,West,California,San Francisco,Women's Street Footwear,Outlet,5,4,4,46,5,2,65,750,487500,195000,0.4,NY
West Gear,West,California,San Francisco,Women's Athletic Footwear,Outlet,5,4,4,46,4,2,60,650,390000,136500,0.35,CO
West Gear,West,California,San Francisco,Men's Apparel,Outlet,5,4,4,46,0,2,65,550,357500,196625,0.55,NY
West Gear,West,California,San Francisco,Women's Apparel,Outlet,5,4,4,46,3,2,80,725,580000,116000,0.2,CO
West Gear,West,California,San Francisco,Men's Street Footwear,Outlet,5,4,4,46,2,2,60,975,585000,234000,0.4,NY
West Gear,West,California,San Francisco,Men's Athletic Footwear,Outlet,5,4,4,46,1,2,65,825,536250,134062.5,0.25,NY
West Gear,West,California,San Francisco,Women's Street Footwear,Outlet,5,4,4,46,5,2,65,825,536250,214500,0.4,CO
West Gear,West,California,San Francisco,Women's Athletic Footwear,Outlet,5,4,4,46,4,2,60,700,420000,147000,0.35,NY
West Gear,West,California,San Francisco,Men's Apparel,Outlet,5,4,4,46,0,2,65,575,373750,205562.5,0.55,CO
West Gear,West,California,San Francisco,Women's Apparel,Outlet,5,4,4,46,3,2,80,875,700000,140000,0.2,NY
West Gear,West,California,San Francisco,Men's Street Footwear,Outlet,5,4,4,46,2,2,60,1025,615000,215250,0.35,NY
West Gear,West,California,San Francisco,Men's Athletic Footwear,Outlet,5,4,4,46,1,2,65,875,568750,113750,0.2,CO
West Gear,West,California,San Francisco,Women's Street Footwear,Outlet,5,4,4,46,5,2,65,825,536250,187687.5,0.35,NY
West Gear,West,California,San Francisco,Women's Athletic Footwear,Outlet,5,4,4,46,4,2,60,725,435000,130500,0.3,CO
West Gear,West,California,San Francisco,Men's Apparel,Outlet,5,4,4,46,0,2,65,775,503750,251875,0.5,NY
West Gear,West,California,San Francisco,Women's Apparel,Outlet,5,4,4,46,3,2,80,775,620000,93000,0.15,NY
West Gear,West,California,San Francisco,Men's Street Footwear,Outlet,5,4,4,46,2,2,65,975,633750,221812.5,0.35,CO
West Gear,West,California,San Francisco,Men's Athletic Footwear,Outlet,5,4,4,46,1,2,70,925,647500,129500,0.2,NY
West Gear,West,California,San Francisco,Women's Street Footwear,Outlet,5,4,4,46,5,2,65,800,520000,182000,0.35,CO
West Gear,West,California,San Francisco,Women's Athletic Footwear,Outlet,5,4,4,46,4,2,65,750,487500,146250,0.3,NY
West Gear,West,California,San Francisco,Men's Apparel,Outlet,5,4,4,46,0,2,75,750,562500,281250,0.5,NY
West Gear,West,California,San Francisco,Women's Apparel,Outlet,5,4,4,46,3,2,80,725,580000,87000,0.15,CO
West Gear,West,California,San Francisco,Men's Street Footwear,Outlet,5,4,4,46,2,2,55,925,508750,152625,0.3,NY
West Gear,West,California,San Francisco,Men's Athletic Footwear,Outlet,5,4,4,46,1,2,60,925,555000,83250,0.15,CO
West Gear,West,California,San Francisco,Women's Street Footwear,Outlet,5,4,4,46,5,2,55,775,426250,127875,0.3,NY
West Gear,West,California,San Francisco,Women's Athletic Footwear,Outlet,5,4,4,46,4,2,55,725,398750,99687.5,0.25,NY
West Gear,West,California,San Francisco,Men's Apparel,Outlet,5,4,4,46,0,2,65,725,471250,212062.5,0.45,CO
West Gear,West,California,San Francisco,Women's Apparel,Outlet,5,4,4,46,3,2,70,775,542500,54250,0.1,NY
West Gear,West,California,San Francisco,Men's Street Footwear,Outlet,5,4,4,46,2,2,55,875,481250,144375,0.3,CO
West Gear,West,California,San Francisco,Men's Athletic Footwear,Outlet,5,4,4,46,1,2,60,875,525000,78750,0.15,NY
West Gear,West,California,San Francisco,Women's Street Footwear,Outlet,5,4,4,46,5,2,55,700,385000,115500,0.3,NY
West Gear,West,California,San Francisco,Women's Athletic Footwear,Outlet,5,4,4,46,4,2,55,675,371250,92812.5,0.25,CO
West Gear,West,California,San Francisco,Men's Apparel,Outlet,5,4,4,46,0,2,65,650,422500,190125,0.45,NY
West Gear,West,California,San Francisco,Women's Apparel,Outlet,5,4,4,46,3,2,70,700,490000,49000,0.1,CO
West Gear,West,California,San Francisco,Men's Street Footwear,Outlet,5,4,4,46,2,2,55,875,481250,144375,0.3,NY
West Gear,West,California,San Francisco,Men's Athletic Footwear,Outlet,5,4,4,46,1,2,60,875,525000,78750,0.15,NY
West Gear,West,California,San Francisco,Women's Street Footwear,Outlet,5,4,4,46,5,2,55,725,398750,119625,0.3,CO
West Gear,West,California,San Francisco,Women's Athletic Footwear,Outlet,5,4,4,46,4,2,55,700,385000,96250,0.25,NY
West Gear,West,California,San Francisco,Men's Apparel,Outlet,5,4,4,46,0,2,65,650,422500,190125,0.45,CO
West Gear,West,California,San Francisco,Women's Apparel,Outlet,5,4,4,46,3,2,70,775,542500,54250,0.1,NY
West Gear,West,California,San Francisco,Men's Street Footwear,Outlet,5,4,4,46,2,2,55,975,536250,160875,0.3,NY
West Gear,West,California,San Francisco,Men's Athletic Footwear,Outlet,5,4,4,46,1,2,60,975,585000,87750,0.15,CO
West Gear,West,California,San Francisco,Women's Street Footwear,Outlet,5,4,4,46,5,2,55,775,426250,127875,0.3,NY
West Gear,West,California,San Francisco,Women's Athletic Footwear,Outlet,5,4,4,46,4,2,55,775,426250,106562.5,0.25,CO
West Gear,West,California,San Francisco,Men's Apparel,Outlet,5,4,4,46,0,2,65,700,455000,204750,0.45,NY
West Gear,West,California,San Francisco,Women's Apparel,Outlet,5,4,4,46,3,2,70,800,560000,56000,0.1,NY
Kohl's,West,California,San Francisco,Men's Street Footwear,Outlet,2,4,4,46,2,2,35,700,245000,98000,0.4,CO
Kohl's,West,California,San Francisco,Men's Athletic Footwear,Outlet,2,4,4,46,1,2,45,700,315000,78750,0.25,NY
Kohl's,West,California,San Francisco,Women's Street Footwear,Outlet,2,4,4,46,5,2,45,700,315000,126000,0.4,CO
Kohl's,West,California,San Francisco,Women's Athletic Footwear,Outlet,2,4,4,46,4,2,45,550,247500,86625,0.35,NY
Kohl's,West,California,Los Angeles,Men's Apparel,Outlet,2,4,4,28,0,2,50,500,250000,137500,0.55,NY
Kohl's,West,California,Los Angeles,Women's Apparel,Outlet,2,4,4,28,3,2,45,700,315000,63000,0.2,CO
Kohl's,West,California,Los Angeles,Men's Street Footwear,Outlet,2,4,4,28,2,2,35,750,262500,105000,0.4,NY
Kohl's,West,California,Los Angeles,Men's Athletic Footwear,Outlet,2,4,4,28,1,2,45,650,292500,73125,0.25,CO
Kohl's,West,California,Los Angeles,Women's Street Footwear,Outlet,2,4,4,28,5,2,45,675,303750,121500,0.4,NY
Kohl's,West,California,Los Angeles,Women's Athletic Footwear,Outlet,2,4,4,28,4,2,45,525,236250,82687.5,0.35,NY
Kohl's,West,California,Los Angeles,Men's Apparel,Outlet,2,4,4,28,0,2,50,450,225000,123750,0.55,CO
Kohl's,West,California,Los Angeles,Women's Apparel,Outlet,2,4,4,28,3,2,45,650,292500,58500,0.2,NY
Kohl's,West,California,Los Angeles,Men's Street Footwear,Outlet,2,4,4,28,2,2,35,800,280000,112000,0.4,CO
Kohl's,West,California,Los Angeles,Men's Athletic Footwear,Outlet,2,4,4,28,1,2,45,650,292500,73125,0.25,NY
Kohl's,West,California,Los Angeles,Women's Street Footwear,Outlet,2,4,4,28,5,2,45,650,292500,117000,0.4,CO
Kohl's,West,California,Los Angeles,Women's Athletic Footwear,Outlet,2,4,4,28,4,2,45,550,247500,86625,0.35,CO
Kohl's,West,California,Los Angeles,Men's Apparel,Outlet,2,4,4,28,0,2,50,425,212500,116875,0.55,CO
